Time SenderId SenderProto   ReceiverId ReceiverProto     Commodity          Quantity               
976  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
977  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
978  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
979  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
980  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 59920                  
981  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
982  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
983  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
984  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
985  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 37450                  
986  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 44940.00000000001      
987  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 59920                  
988  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 74900                  
989  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
990  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
991  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
992  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
993  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 59920                  
994  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
995  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
996  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
997  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
998  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 37450                  
999  75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 82389.99999999999      
1000 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 59920                  
1001 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 74900                  
1002 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
1003 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
1004 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
1005 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
1006 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 59920                  
1007 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
1008 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
1009 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
1010 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
1011 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 82389.99999999999      
1012 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 82389.99999999999      
1013 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 59920                  
1014 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 74900                  
1015 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
1016 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
1017 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 52430                  
1018 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
1019 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 59920                  
1020 75       SFR_A_storage 68         SFR_A_separations SFR_A_spent_stored 67410                  
